
 Version: 2.1
 Chunks: 1
 Start: 2026-04-28 09:02:22 (UTC)
 Duration: 84 s

 Event Type                              Count  Size (bytes) 
=============================================================
 jdk.GCPhaseParallel                      3858         90411
 jdk.NativeMethodSample                   2669         29359
 jdk.ModuleExport                         1392         13784
 jdk.BooleanFlag                           495         15063
 jdk.ObjectAllocationSample                439          6613
 jdk.SystemProcess                         370         22319
 jdk.ActiveSetting                         359         10360
 jdk.Checkpoint                            341        440835
 jdk.ThreadPark                            221          8128
 jdk.LongFlag                              161          5217
 jdk.ModuleRequire                         160          1440
 jdk.NativeLibrary                         140          8634
 jdk.UnsignedLongFlag                      132          4485
 jdk.PromoteObjectInNewPLAB                110          1976
 jdk.ResidentSetSize                        83          1411
 jdk.ExceptionStatistics                    83           996
 jdk.CPULoad                                83          1577
 jdk.JavaThreadStatistics                   83           913
 jdk.ClassLoadingStatistics                 83           830
 jdk.CompilerStatistics                     83          2573
 jdk.ThreadAllocationStatistics             64           724
 jdk.InitialEnvironmentVariable             61          5568
 jdk.InitialSecurityProperty                48          2583
 jdk.JavaMonitorWait                        40          1040
 jdk.ExecutionSample                        27           297
 jdk.StringFlag                             26           771
 jdk.IntFlag                                25           935
 jdk.ThreadCPULoad                          24           384
 jdk.NetworkUtilization                     20           270
 jdk.DirectBufferStatistics                 16           368
 jdk.TenuringDistribution                   15           169
 jdk.OldObjectSample                        15           525
 jdk.InitialSystemProperty                  15          3363
 jdk.DoubleFlag                             15           605
 jdk.ClassLoaderStatistics                  14           356
 jdk.UnsignedIntFlag                        13           439
 jdk.ExecuteVMOperation                      9           141
 jdk.ThreadContextSwitchRate                 8            88
 jdk.SymbolTableStatistics                   8           304
 jdk.StringTableStatistics                   8           304
 jdk.ThreadSleep                             8           160
 jdk.SafepointBegin                          7            93
 jdk.GCHeapMemoryPoolUsage                   6           233
 jdk.CodeCacheStatistics                     6           180
 jdk.MetaspaceChunkFreeListSummary           4            76
 jdk.GCReferenceStatistics                   4            44
 jdk.PromoteObjectOutsidePLAB                3            51
 jdk.GCPhasePauseLevel1                      3           123
 jdk.GCHeapSummary                           2            81
 jdk.GCHeapMemoryUsage                       2            44
 jdk.MetaspaceSummary                        2           104
 jdk.G1HeapSummary                           2            56
 jdk.ActiveRecording                         2           119
 jdk.PhysicalMemory                          2            34
 jdk.GCConfiguration                         2            50
 jdk.Metadata                                1        103166
 jdk.GarbageCollection                       1            21
 jdk.YoungGarbageCollection                  1            13
 jdk.G1GarbageCollection                     1            13
 jdk.G1MMU                                   1            14
 jdk.EvacuationInformation                   1            32
 jdk.G1EvacuationYoungStatistics             1            40
 jdk.G1EvacuationOldStatistics               1            33
 jdk.G1BasicIHOP                             1            44
 jdk.G1AdaptiveIHOP                          1            43
 jdk.GCCPUTime                               1            21
 jdk.GCPhasePause                            1            23
 jdk.Compilation                             1            27
 jdk.JVMInformation                          1           260
 jdk.OSInformation                           1           117
 jdk.VirtualizationInformation               1            21
 jdk.CPUInformation                          1          1515
 jdk.CPUTimeStampCounter                     1            17
 jdk.ThreadDump                              1         44470
 jdk.CompilerConfiguration                   1            10
 jdk.CodeCacheConfiguration                  1            43
 jdk.GCSurvivorConfiguration                 1            10
 jdk.GCTLABConfiguration                     1            12
 jdk.GCHeapConfiguration                     1            26
 jdk.YoungGenerationConfiguration            1            17
 jdk.ThreadStart                             0             0
 jdk.ThreadEnd                               0             0
 jdk.JavaMonitorEnter                        0             0
 jdk.JavaMonitorInflate                      0             0
 jdk.SyncOnValueBasedClass                   0             0
 jdk.ContinuationFreeze                      0             0
 jdk.ContinuationThaw                        0             0
 jdk.ContinuationFreezeFast                  0             0
 jdk.ContinuationFreezeSlow                  0             0
 jdk.ContinuationThawFast                    0             0
 jdk.ContinuationThawSlow                    0             0
 jdk.ReservedStackActivation                 0             0
 jdk.ClassLoad                               0             0
 jdk.ClassDefine                             0             0
 jdk.ClassRedefinition                       0             0
 jdk.RedefineClasses                         0             0
 jdk.RetransformClasses                      0             0
 jdk.ClassUnload                             0             0
 jdk.IntFlagChanged                          0             0
 jdk.UnsignedIntFlagChanged                  0             0
 jdk.LongFlagChanged                         0             0
 jdk.UnsignedLongFlagChanged                 0             0
 jdk.DoubleFlagChanged                       0             0
 jdk.BooleanFlagChanged                      0             0
 jdk.StringFlagChanged                       0             0
 jdk.MetaspaceGCThreshold                    0             0
 jdk.MetaspaceAllocationFailure              0             0
 jdk.MetaspaceOOM                            0             0
 jdk.PSHeapSummary                           0             0
 jdk.SystemGC                                0             0
 jdk.ParallelOldGarbageCollection            0             0
 jdk.OldGarbageCollection                    0             0
 jdk.FileForce                               0             0
 jdk.ObjectCountAfterGC                      0             0
 jdk.FileRead                                0             0
 jdk.FileWrite                               0             0
 jdk.SocketRead                              0             0
 jdk.PromotionFailed                         0             0
 jdk.EvacuationFailed                        0             0
 jdk.SocketWrite                             0             0
 jdk.ConcurrentModeFailure                   0             0
 jdk.JavaExceptionThrow                      0             0
 jdk.GCPhasePauseLevel2                      0             0
 jdk.GCPhasePauseLevel3                      0             0
 jdk.JavaErrorThrow                          0             0
 jdk.GCPhasePauseLevel4                      0             0
 jdk.GCPhaseConcurrent                       0             0
 jdk.GCPhaseConcurrentLevel1                 0             0
 jdk.GCPhaseConcurrentLevel2                 0             0
 jdk.AllocationRequiringGC                   0             0
 jdk.Deserialization                         0             0
 jdk.G1HeapRegionTypeChange                  0             0
 jdk.ProcessStart                            0             0
 jdk.JITRestart                              0             0
 jdk.SecurityPropertyModification            0             0
 jdk.CompilerPhase                           0             0
 jdk.CompilationFailure                      0             0
 jdk.TLSHandshake                            0             0
 jdk.CompilerInlining                        0             0
 jdk.CodeCacheFull                           0             0
 jdk.VirtualThreadStart                      0             0
 jdk.Deoptimization                          0             0
 jdk.SafepointStateSynchronization           0             0
 jdk.VirtualThreadEnd                        0             0
 jdk.SafepointCleanup                        0             0
 jdk.SafepointCleanupTask                    0             0
 jdk.VirtualThreadPinned                     0             0
 jdk.SafepointEnd                            0             0
 jdk.VirtualThreadSubmitFailed               0             0
 jdk.Shutdown                                0             0
 jdk.ObjectAllocationInNewTLAB               0             0
 jdk.X509Certificate                         0             0
 jdk.ObjectAllocationOutsideTLAB             0             0
 jdk.X509Validation                          0             0
 jdk.NativeMemoryUsage                       0             0
 jdk.NativeMemoryUsageTotal                  0             0
 jdk.DumpReason                              0             0
 jdk.DataLoss                                0             0
 jdk.ObjectCount                             0             0
 jdk.G1HeapRegionInformation                 0             0
 jdk.ZYoungGarbageCollection                 0             0
 jdk.ZOldGarbageCollection                   0             0
 jdk.ZAllocationStall                        0             0
 jdk.ZPageAllocation                         0             0
 jdk.ZRelocationSet                          0             0
 jdk.ZRelocationSetGroup                     0             0
 jdk.ZStatisticsCounter                      0             0
 jdk.ZStatisticsSampler                      0             0
 jdk.ZThreadPhase                            0             0
 jdk.ZUncommit                               0             0
 jdk.ZUnmap                                  0             0
 jdk.ShenandoahHeapRegionStateChange         0             0
 jdk.ShenandoahHeapRegionInformation         0             0
 jdk.Flush                                   0             0
 jdk.HeapDump                                0             0
 jdk.GCLocker                                0             0
 jdk.FinalizerStatistics                     0             0
 jdk.JavaAgent                               0             0
 jdk.NativeAgent                             0             0
 jdk.ContainerConfiguration                  0             0
 jdk.ContainerCPUUsage                       0             0
 jdk.ContainerCPUThrottling                  0             0
 jdk.ContainerMemoryUsage                    0             0
 jdk.ContainerIOUsage                        0             0
 jdk.SecurityProviderService                 0             0
